604,"the picture is a rectangular cardboard, connect the midpoints of each side in sequence to get a rhombus, and then connect the midpoints of each side of the rhombus in sequence to get a small rectangle, and randomly drop a flying marker on the large rectangular cardboard, the flying marker falls on the probability of the shaded area is",581,1444,1446
705,the opposite of $-3$ is,1334,1626,1634
3787,"2. given the set $a=|x|x(2-x)geqslant0}, b={xmid-5leqslant3-2xleqslant1}$, then $acupb=$",718,1758,
1322,the following propositions are false,748,2354,932
2458,"if $z=frac{1+mathrm{i}}{1-2mathrm{i}}cdotmathrm{i}^{3}$, then the imaginary part of $z$ is $quad(quad)$",558,568,
3928,"9. the complex number $z$ satisfies $zmathrm{i}=2-mathrm{i}$, then the following conclusion is correct is $(quad)$",558,,559
1801,which of the following operations is correct,1481,955,665
800,the absolute value of $-2$ is,1334,804,812
2472,"marin mersenne ($1588-1648$) was a famous french mathematician and monk in the 17th century, and a unique central figure in european science at that time. a lot of calculations and verifications have been done on $2^{p}-1$. people commemorate mersen's prime number in number theory as a mersenne prime. among the prime numbers not exceeding 40, two different numbers are randomly selected, at least one of which is a mersenne the probability of a prime number is quad(quad)$",581,632,
2503,"10. in july 2020, relevant departments issued a notice to promote the reopening of movie theaters under the condition of normalized epidemic prevention and control, stipulating that low-risk areas can resume business in an orderly manner under the premise that various prevention and control measures of movie theaters are effectively implemented. after the theater reopened, the following statistical table was obtained by counting the relevant data for 14 consecutive days. among them, the date no. 1 is monday, the box office refers to the sales amount of theater tickets, and the number of moviegoers is equivalent to the number of ticket sales. from the statistical table, you can see out, within 14 consecutive days $(quad)$",1493,1507,
2401,"on april 23, 2019, the national bureau of statistics counted the per capita consumption expenditure of residents in the first quarter of 2019, and drew a pie chart (as shown in the figure). which of the following statements is correct?",1493,1507,
862,"22nm$=0.000000022$m, express $0.000000022$ in scientific notation as",823,824,825
3569,"known proposition $p:forallx>0,ln(x+1)>0$; proposition $q$: if $a>b$, then $a^{2}>b^{2}$. the following proposition is the true proposition is $(quad)$",962,748,2065
1627,"in the environmental protection theme practice activities carried out by the school, the number of $5 students in a group who picked up discarded plastic bags were $5, 3, 6, 8, and 6 respectively. the mode and median of this group of data are",1493,2165,2167
2159,"2. given the set $a={0,1,2,4},b=left{xmidx=2^{n},ninaright}$, then $acapb=$",721,779,
884,"the median of data $12, 15, 18, 17, 10, 19 $ is",1493,2165,2166
3181,"the known sequence $left{a{n}right}$ is the arithmetic sequence, if $a{1}, a{6}$ is the function $f(x)=x^{2}-$$9x+14$ two zeros, then $a{3}a{4}=$",215,645,215
